Posición,Equipo,PJ,PG,PE,PP,GF,GC,DG,Pts,Pts/PJ,xG,xGA,xGD,xGD/90,Asistencia,Portero,Temporada,Goles Metidos,Maximo Goleador 1,Maximo Goleador 2,Maximo Goleador 1_Numero,DG_ESPERADO,xG_ESPERADO,GF_ESPERADO
6,West Ham,38,19,8,11,62,47,15,65,1.71,55.4,48.7,6.7,0.18,632,Łukasz Fabiański,2020-2021,10,Michail Antonio,Tomáš Souček,53,-23.53711216,44.34915536,46.49594448
7,Tottenham,38,18,8,12,68,45,23,62,1.63,53.1,49.1,4,0.1,632,Hugo Lloris,2020-2021,23,Harry Kane,,25,24.16244202,60.66975904,70.51147425
8,Arsenal,38,18,7,13,55,39,16,61,1.61,51.8,43,8.8,0.23,632,Bernd Leno,2020-2021,13,Alexandre Lacazette,,54,36.7656964,60.32610229,73.2770236
9,Leeds United,38,18,5,15,62,54,8,59,1.55,55.6,57.9,-2.2,-0.06,421,Illan Meslier,2020-2021,17,Patrick Bamford,,55,7.254759791,55.70366686,62.39026682
10,Everton,38,17,8,13,47,48,-1,59,1.55,45.7,50.1,-4.5,-0.12,368,Jordan Pickford,2020-2021,16,Dominic Calvert-Lewin,,56,-16.8563051,46.12609187,40.71063616
11,Aston Villa,38,16,7,15,55,46,9,55,1.45,52.5,51.1,1.4,0.04,526,Emiliano Martínez,2020-2021,14,Ollie Watkins,,4,-9.963308157,40.95728136,40.98933811
12,Newcastle Utd,38,12,9,17,46,62,-16,45,1.18,43.4,58.3,-14.9,-0.39,526,Karl Darlow,2020-2021,12,Callum Wilson,,23,-10.82339864,44.47588408,48.3755536
13,Wolves,38,12,9,17,36,52,-16,45,1.18,36.5,49.5,-13,-0.34,237,Rui Patrício,2020-2021,5,Rúben Neves,Pedro Neto,30,2.101126877,48.30189496,46.37061841
14,Crystal Palace,38,12,8,18,41,66,-25,44,1.16,34.1,58.2,-24.2,-0.64,447,Vicente Guaita,2020-2021,11,Wilfried Zaha,,44,1.280288939,43.03381038,49.19179694
15,Southampton,38,12,7,19,47,68,-21,43,1.13,41.2,53.1,-11.8,-0.31,526,Alex McCarthy,2020-2021,12,Danny Ings,,57,-26.64281577,45.98946515,43.24483633
16,Brighton,38,9,14,15,40,46,-6,41,1.08,50.9,35.3,15.6,0.41,523,Robert Sánchez,2020-2021,8,Neal Maupay,,58,-20.83308269,39.17877681,35.25610328
17,Burnley,38,10,9,19,33,55,-22,39,1.03,39.3,54.7,-15.4,-0.4,178,Nick Pope,2020-2021,12,Chris Wood,,17,-14.56107318,39.31964326,37.8114214
18,Fulham,38,5,13,20,27,53,-26,28,0.74,40.5,52.6,-12.1,-0.32,211,Alphonse Areola,2020-2021,5,Bobby Reid,,59,-30.90685989,40.1722925,31.03936788
19,West Brom,38,5,11,22,35,76,-41,26,0.68,35.8,67.9,-32,-0.84,283,Sam Johnstone,2020-2021,11,Matheus Pereira,,60,-25,36.5,31
20,Sheffield Utd,38,7,2,29,20,63,-43,23,0.61,32.6,62.2,-29.6,-0.78,263,Aaron Ramsdale,2020-2021,8,David McGoldrick,,61,-18.05548728,41.16044469,36.60619446
1,Liverpool,38,32,3,3,85,33,52,99,2.61,68.9,37.7,31.2,0.82,,Alisson,2019-2020,19,Mohamed Salah,,3,44.60442758,75.6658349,81.70872089
2,Manchester City,38,26,3,9,102,35,67,81,2.13,92,36.2,55.7,1.47,,Ederson,2019-2020,20,Raheem Sterling,,62,64.33751254,87.7937878,96.70246067
3,Manchester Utd,38,18,12,8,66,36,30,66,1.74,62.2,37.7,24.5,0.64,,David de Gea,2019-2020,17,Anthony Martial,Marcus Rashford,63,16.17009988,60.5408046,62.83334674
4,Chelsea,38,20,6,12,69,54,15,66,1.74,69.2,38.6,30.6,0.81,,Kepa Arrizabalaga,2019-2020,15,Tammy Abraham,,64,14.99167558,62.53106654,62.33693132
5,Leicester City,38,18,8,12,67,41,26,62,1.63,62.2,45.5,16.7,0.44,,Kasper Schmeichel,2019-2020,23,Jamie Vardy,,41,-2.628219526,50.70215584,56.17907169
6,Tottenham,38,16,11,11,61,47,14,59,1.55,47.9,54.2,-6.3,-0.17,,Hugo Lloris,2019-2020,18,Harry Kane,,25,24.16244202,60.66975904,70.51147425
7,Wolves,38,15,14,9,51,40,11,59,1.55,54.1,38,16.1,0.42,,Rui Patrício,2019-2020,17,Raúl Jiménez,,43,2.101126877,48.30189496,46.37061841
8,Arsenal,38,14,14,10,56,48,8,56,1.47,47,55.3,-8.3,-0.22,,Bernd Leno,2019-2020,22,Pierre-Emerick Aubameyang,,65,36.7656964,60.32610229,73.2770236
9,Sheffield Utd,38,14,12,12,39,39,0,54,1.42,43,51,-7.9,-0.21,,Dean Henderson,2019-2020,6,Lys Mousset,Oliver McBurnie,66,-18.05548728,41.16044469,36.60619446
10,Burnley,38,15,9,14,43,50,-7,54,1.42,47.4,49.8,-2.4,-0.06,,Nick Pope,2019-2020,14,Chris Wood,,17,-14.56107318,39.31964326,37.8114214
11,Southampton,38,15,7,16,51,60,-9,52,1.37,56.1,52.8,3.3,0.09,,Alex McCarthy,2019-2020,22,Danny Ings,,57,-26.64281577,45.98946515,43.24483633
12,Everton,38,13,10,15,44,56,-12,49,1.29,50.8,48.3,2.5,0.07,,Jordan Pickford,2019-2020,13,Dominic Calvert-Lewin,Richarlison,56,-16.8563051,46.12609187,40.71063616
13,Newcastle Utd,38,11,11,16,38,58,-20,44,1.16,35.5,65.6,-30.1,-0.79,,Martin Dúbravka,2019-2020,6,Jonjo Shelvey,,67,-10.82339864,44.47588408,48.3755536
14,Crystal Palace,38,11,10,17,31,50,-19,43,1.13,35.8,57,-21.2,-0.56,,Vicente Guaita,2019-2020,9,Jordan Ayew,,68,1.280288939,43.03381038,49.19179694
15,Brighton,38,9,14,15,39,54,-15,41,1.08,45.4,55,-9.5,-0.25,,Mathew Ryan,2019-2020,10,Neal Maupay,,58,-20.83308269,39.17877681,35.25610328
16,West Ham,38,10,9,19,49,62,-13,39,1.03,48.6,63.8,-15.2,-0.4,,Łukasz Fabiański,2019-2020,10,Michail Antonio,,53,-23.53711216,44.34915536,46.49594448
17,Aston Villa,38,9,8,21,41,67,-26,35,0.92,44.3,67.8,-23.5,-0.62,,Tom Heaton,2019-2020,8,Jack Grealish,,69,-9.963308157,40.95728136,40.98933811
18,Bournemouth,38,9,7,22,40,65,-25,34,0.89,44.8,62.3,-17.5,-0.46,,Aaron Ramsdale,2019-2020,8,Callum Wilson,,23,-26.00791579,48.94246575,44.72089647
19,Watford,38,8,10,20,36,64,-28,34,0.89,48.9,58.1,-9.3,-0.24,,Ben Foster,2019-2020,10,Troy Deeney,,70,-25.93464715,46.4160793,39.70544743
20,Norwich City,38,5,6,27,26,75,-49,21,0.55,37,66.5,-29.5,-0.78,,Tim Krul,2019-2020,11,Teemu Pukki,,49,-49,37,26
1,Manchester City,38,32,2,4,95,23,72,98,2.58,84.3,24.7,59.6,1.57,,Ederson,2018-2019,21,Sergio Agüero,,71,64.33751254,87.7937878,96.70246067
2,Liverpool,38,30,7,1,89,22,67,97,2.55,73.7,28.8,44.9,1.18,,Alisson,2018-2019,22,Sadio Mané,Mohamed Salah,72,44.60442758,75.6658349,81.70872089
3,Chelsea,38,21,9,8,63,39,24,72,1.89,58.6,36.4,22.2,0.58,,Kepa Arrizabalaga,2018-2019,16,Eden Hazard,,73,14.99167558,62.53106654,62.33693132
4,Tottenham,38,23,2,13,67,39,28,71,1.87,54.9,47.1,7.8,0.2,,Hugo Lloris,2018-2019,17,Harry Kane,,25,24.16244202,60.66975904,70.51147425
5,Arsenal,38,21,7,10,73,51,22,70,1.84,60.1,54.2,5.8,0.15,,Bernd Leno,2018-2019,22,Pierre-Emerick Aubameyang,,65,36.7656964,60.32610229,73.2770236
6,Manchester Utd,38,19,9,10,65,54,11,66,1.74,61.4,50.6,10.8,0.29,,David de Gea,2018-2019,13,Paul Pogba,,74,16.17009988,60.5408046,62.83334674
7,Wolves,38,16,9,13,47,46,1,57,1.5,52.1,42.1,10.1,0.26,,Rui Patrício,2018-2019,13,Raúl Jiménez,,43,2.101126877,48.30189496,46.37061841
8,Everton,38,15,9,14,54,46,8,54,1.42,49.7,45.7,4,0.1,,Jordan Pickford,2018-2019,13,Gylfi Sigurðsson,Richarlison,75,-16.8563051,46.12609187,40.71063616
9,Leicester City,38,15,7,16,51,48,3,52,1.37,52.4,43.7,8.7,0.23,,Kasper Schmeichel,2018-2019,18,Jamie Vardy,,41,-2.628219526,50.70215584,56.17907169
10,West Ham,38,15,7,16,52,55,-3,52,1.37,47.6,61.9,-14.3,-0.38,,Łukasz Fabiański,2018-2019,10,Marko Arnautović,,76,-23.53711216,44.34915536,46.49594448
11,Watford,38,14,8,16,52,59,-7,50,1.32,48.2,59.2,-11,-0.29,,Ben Foster,2018-2019,10,Gerard Deulofeu,,77,-25.93464715,46.4160793,39.70544743
12,Crystal Palace,38,14,7,17,51,53,-2,49,1.29,47.6,50.1,-2.5,-0.07,,Vicente Guaita,2018-2019,12,Luka Milivojević,,78,1.280288939,43.03381038,49.19179694
13,Newcastle Utd,38,12,9,17,42,48,-6,45,1.18,39.1,53.6,-14.5,-0.38,,Martin Dúbravka,2018-2019,12,Ayoze Pérez,,79,-10.82339864,44.47588408,48.3755536
14,Bournemouth,38,13,6,19,56,70,-14,45,1.18,53.3,57.2,-3.9,-0.1,,Asmir Begović,2018-2019,14,Callum Wilson,,23,-26.00791579,48.94246575,44.72089647
15,Burnley,38,11,7,20,45,68,-23,40,1.05,44.4,62.1,-17.7,-0.46,,"Tom Heaton, Joe Hart",2018-2019,12,Ashley Barnes,,80,-14.56107318,39.31964326,37.8114214
16,Southampton,38,9,12,17,45,65,-20,39,1.03,46.9,55.1,-8.2,-0.22,,Alex McCarthy,2018-2019,7,Danny Ings,James Ward-Prowse,57,-26.64281577,45.98946515,43.24483633
17,Brighton,38,9,9,20,35,60,-25,36,0.95,35.3,59.1,-23.8,-0.63,,Mathew Ryan,2018-2019,13,Glenn Murray,,81,-20.83308269,39.17877681,35.25610328
18,Cardiff City,38,10,4,24,34,69,-35,34,0.89,42.4,61.5,-19.1,-0.5,,Neil Etheridge,2018-2019,5,Bobby Reid,Víctor Camarasa,59,-35,42.4,34
19,Fulham,38,7,5,26,34,81,-47,26,0.68,41.3,68.2,-26.8,-0.71,,Sergio Rico,2018-2019,11,Aleksandar Mitrović,,27,-30.90685989,40.1722925,31.03936788
20,Huddersfield,38,3,7,28,22,76,-54,16,0.42,28.8,60.9,-32.2,-0.85,,Jonas Lössl,2018-2019,4,Karlan Grant,,82,-30,31.3,28
